rank,cluster_id,cluster_profile_count,cluster_profiles_covered,canonical_rule_id,canonical_rule_title,rule_id,rule_title,rule_severity,rule_profiles,rule_profile_count,sim_to_canonical,is_canonical
1,20,19,anssi_bp28_enhanced|anssi_bp28_high|anssi_bp28_intermediary|anssi_bp28_minimal|ccn_advanced|ccn_basic|ccn_intermediate|cis|cis_server_l1|cis_workstation_l1|cis_workstation_l2|cui|e8|hipaa|ism_o|ospp|pci-dss|stig|stig_gui,xccdf_org.ssgproject.content_rule_accounts_password_pam_difok,Ensure PAM Enforces Password Requirements - Minimum Different Characters,xccdf_org.ssgproject.content_rule_account_passwords_pam_faillock_audit,Account Lockouts Must Be Logged,medium,,0,0.8989,no
1,20,19,anssi_bp28_enhanced|anssi_bp28_high|anssi_bp28_intermediary|anssi_bp28_minimal|ccn_advanced|ccn_basic|ccn_intermediate|cis|cis_server_l1|cis_workstation_l1|cis_workstation_l2|cui|e8|hipaa|ism_o|ospp|pci-dss|stig|stig_gui,xccdf_org.ssgproject.content_rule_accounts_password_pam_difok,Ensure PAM Enforces Password Requirements - Minimum Different Characters,xccdf_org.ssgproject.content_rule_account_passwords_pam_faillock_dir,Account Lockouts Must Persist,medium,,0,0.9005,no
1,20,19,anssi_bp28_enhanced|anssi_bp28_high|anssi_bp28_intermediary|anssi_bp28_minimal|ccn_advanced|ccn_basic|ccn_intermediate|cis|cis_server_l1|cis_workstation_l1|cis_workstation_l2|cui|e8|hipaa|ism_o|ospp|pci-dss|stig|stig_gui,xccdf_org.ssgproject.content_rule_accounts_password_pam_difok,Ensure PAM Enforces Password Requirements - Minimum Different Characters,xccdf_org.ssgproject.content_rule_accounts_passwords_pam_faillock_enforce_local,Enforce pam_faillock for Local Accounts Only,medium,,0,0.9138,no
1,20,19,anssi_bp28_enhanced|anssi_bp28_high|anssi_bp28_intermediary|anssi_bp28_minimal|ccn_advanced|ccn_basic|ccn_intermediate|cis|cis_server_l1|cis_workstation_l1|cis_workstation_l2|cui|e8|hipaa|ism_o|ospp|pci-dss|stig|stig_gui,xccdf_org.ssgproject.content_rule_accounts_password_pam_difok,Ensure PAM Enforces Password Requirements - Minimum Different Characters,xccdf_org.ssgproject.content_rule_accounts_password_pam_enforce_local,Ensure PAM Enforces Password Requirements - Enforce for Local Accounts Only,medium,,0,0.9421,no
1,20,19,anssi_bp28_enhanced|anssi_bp28_high|anssi_bp28_intermediary|anssi_bp28_minimal|ccn_advanced|ccn_basic|ccn_intermediate|cis|cis_server_l1|cis_workstation_l1|cis_workstation_l2|cui|e8|hipaa|ism_o|ospp|pci-dss|stig|stig_gui,xccdf_org.ssgproject.content_rule_accounts_password_pam_difok,Ensure PAM Enforces Password Requirements - Minimum Different Characters,xccdf_org.ssgproject.content_rule_accounts_passwords_pam_faillock_audit,Account Lockouts Must Be Logged,medium,stig|stig_gui,2,0.8989,no
1,20,19,anssi_bp28_enhanced|anssi_bp28_high|anssi_bp28_intermediary|anssi_bp28_minimal|ccn_advanced|ccn_basic|ccn_intermediate|cis|cis_server_l1|cis_workstation_l1|cis_workstation_l2|cui|e8|hipaa|ism_o|ospp|pci-dss|stig|stig_gui,xccdf_org.ssgproject.content_rule_accounts_password_pam_difok,Ensure PAM Enforces Password Requirements - Minimum Different Characters,xccdf_org.ssgproject.content_rule_accounts_password_pam_dictcheck,Ensure PAM Enforces Password Requirements - Prevent the Use of Dictionary Words,medium,stig|stig_gui,2,0.9439,no
1,20,19,anssi_bp28_enhanced|anssi_bp28_high|anssi_bp28_intermediary|anssi_bp28_minimal|ccn_advanced|ccn_basic|ccn_intermediate|cis|cis_server_l1|cis_workstation_l1|cis_workstation_l2|cui|e8|hipaa|ism_o|ospp|pci-dss|stig|stig_gui,xccdf_org.ssgproject.content_rule_accounts_password_pam_difok,Ensure PAM Enforces Password Requirements - Minimum Different Characters,xccdf_org.ssgproject.content_rule_accounts_password_pam_difok,Ensure PAM Enforces Password Requirements - Minimum Different Characters,medium,stig|stig_gui,2,1.0,yes
1,20,19,anssi_bp28_enhanced|anssi_bp28_high|anssi_bp28_intermediary|anssi_bp28_minimal|ccn_advanced|ccn_basic|ccn_intermediate|cis|cis_server_l1|cis_workstation_l1|cis_workstation_l2|cui|e8|hipaa|ism_o|ospp|pci-dss|stig|stig_gui,xccdf_org.ssgproject.content_rule_accounts_password_pam_difok,Ensure PAM Enforces Password Requirements - Minimum Different Characters,xccdf_org.ssgproject.content_rule_accounts_password_pam_enforce_root,Ensure PAM Enforces Password Requirements - Enforce for root User,medium,stig|stig_gui,2,0.9517,no
1,20,19,anssi_bp28_enhanced|anssi_bp28_high|anssi_bp28_intermediary|anssi_bp28_minimal|ccn_advanced|ccn_basic|ccn_intermediate|cis|cis_server_l1|cis_workstation_l1|cis_workstation_l2|cui|e8|hipaa|ism_o|ospp|pci-dss|stig|stig_gui,xccdf_org.ssgproject.content_rule_accounts_password_pam_difok,Ensure PAM Enforces Password Requirements - Minimum Different Characters,xccdf_org.ssgproject.content_rule_accounts_password_pam_maxclassrepeat,Ensure PAM Enforces Password Requirements - Maximum Consecutive Repeating Characters from Same Character Class,medium,stig|stig_gui,2,0.9565,no
1,20,19,anssi_bp28_enhanced|anssi_bp28_high|anssi_bp28_intermediary|anssi_bp28_minimal|ccn_advanced|ccn_basic|ccn_intermediate|cis|cis_server_l1|cis_workstation_l1|cis_workstation_l2|cui|e8|hipaa|ism_o|ospp|pci-dss|stig|stig_gui,xccdf_org.ssgproject.content_rule_accounts_password_pam_difok,Ensure PAM Enforces Password Requirements - Minimum Different Characters,xccdf_org.ssgproject.content_rule_accounts_password_pam_maxrepeat,Set Password Maximum Consecutive Repeating Characters,medium,stig|stig_gui,2,0.9605,no
